landscape_id,wild_biodiversity,ecological_connectivity,ecosystem_services,climate_resilience,community_nature_reciprocity,abiotic_integrity,anthropogenic_pressure,fne_score,score_label,wild_biodiversity_confidence,ecological_connectivity_confidence,ecosystem_services_confidence,climate_resilience_confidence,community_nature_reciprocity_confidence,abiotic_integrity_confidence,anthropogenic_pressure_confidence,confidence,data_coverage_pct
ls_00001,6.6,4.16,6.02,6.57,3.01,3.87,5.52,5.11,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00002,7.14,6.23,7.72,6.72,2.93,4.21,5.86,5.83,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00003,7.95,4.38,5.72,4.01,6.07,5.96,7.41,5.93,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00004,8.2,3.56,2.46,6.22,3.71,3.68,7.36,5.03,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00005,5.7,1.84,5.84,6.84,2.34,6.57,4.0,4.73,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00006,6.88,6.3,8.5,7.54,3.25,9.06,5.46,6.71,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00007,7.95,3.98,4.48,6.29,4.79,3.68,6.88,5.44,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00008,7.57,3.87,4.42,4.4,4.98,5.94,6.26,5.35,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00009,7.08,5.61,8.12,6.35,2.99,6.9,6.42,6.21,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00010,5.57,1.77,3.62,3.51,4.59,5.84,4.15,4.15,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00011,5.6,3.3,5.92,6.45,2.92,7.94,4.66,5.26,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
